id,code,title_ko,COMM,RESP,PROB,GROW,STRE,ADAP,representative_job
1,11,인문·사회과학 연구직,3,3,5,4,3,3,연구원(R&D)
2,110,인문·사회과학 연구원,3,3,5,4,3,3,연구원(R&D)
3,1101,인문과학 연구원,3,3,5,4,3,3,연구원(R&D)
4,1102,사회과학 연구원,3,3,5,4,3,3,연구원(R&D)
5,12,자연·생명과학 연구직,3,3,5,4,3,3,연구원(R&D)
6,121,자연과학 연구원 및 시험원,3,3,5,4,3,3,연구원(R&D)
7,1211,자연과학 연구원,3,3,5,4,3,3,연구원(R&D)
8,1212,자연과학 시험원,3,3,5,4,3,3,기타전문직
9,122,생명과학 연구원 및 시험원,3,3,5,4,3,3,연구원(R&D)
10,1221,생명과학 연구원,3,3,5,4,3,3,연구원(R&D)
11,1222,생명과학 시험원,3,3,5,4,3,3,기타전문직
12,1223,농림어업 관련 시험원,3,3,4,4,3,3,기타전문직
13,13,정보통신 연구개발직 및,3,3,5,4,3,3,연구원(R&D)
14,131,컴퓨터하드웨어·통신공학,3,3,5,4,3,3,기타전문직
15,1311,컴퓨터 하드웨어 기술자 및,3,3,4,4,3,3,기타전문직
16,1312,통신공학 기술자 및 연구원,3,3,5,4,3,3,연구원(R&D)
17,132,컴퓨터시스템 전문가,3,3,4,4,3,3,임베디드/시스템 엔지니어
18,1320,컴퓨터 시스템 전문가,3,3,4,4,3,3,임베디드/시스템 엔지니어
19,133,소프트웨어 개발자,3,3,5,4,3,3,기타전문직
20,1331,시스템 소프트웨어 개발자,3,3,5,4,3,3,임베디드/시스템 엔지니어
21,1332,응용 소프트웨어 개발자,3,3,5,4,3,3,기타전문직
22,1333,웹 개발자,3,3,5,4,3,3,기타전문직
23,1339,기타 컴퓨터 시스템 및,3,3,4,4,3,3,임베디드/시스템 엔지니어
24,134,네트워크 시스템 개발자 및,3,3,5,4,3,3,임베디드/시스템 엔지니어
25,1341,네트워크 시스템 개발자,3,3,5,4,3,3,임베디드/시스템 엔지니어
26,1342,정보 보안 전문가,3,3,4,4,3,3,정보보안 전문가
27,1349,기타 네트워크 및 정보 보안,3,3,4,4,3,3,정보보안 전문가
28,135,데이터 전문가,3,3,5,4,3,3,데이터 분석가
29,1351,데이터 시스템 전문가,3,3,5,4,3,3,데이터 분석가
30,1352,데이터 분석가,3,3,5,4,3,3,데이터 분석가
31,136,정보시스템 및 웹 운영자,3,3,4,4,3,3,임베디드/시스템 엔지니어
32,1361,정보 시스템 운영자,3,3,4,4,3,3,임베디드/시스템 엔지니어
33,1362,웹 운영자,3,3,4,4,3,3,기타전문직
34,137,통신·방송송출 장비 기사,3,3,4,4,3,3,기타전문직
35,1370,통신 및 방송 송출 장비 기사,3,3,4,4,3,3,기타전문직
36,14,건설·채굴 연구개발직 및,3,3,5,4,3,3,연구원(R&D)
37,140,건축·토목공학 기술자 및,3,3,5,4,3,3,토목/건축 엔지니어
38,1401,건축가,3,3,4,4,3,3,토목/건축 엔지니어
39,1402,건축공학 기술자,3,3,5,4,3,3,토목/건축 엔지니어
40,1403,토목공학 기술자,3,3,5,4,3,3,토목/건축 엔지니어
41,1404,조경 기술자,3,3,4,4,3,3,기타전문직
42,1405,도시 및 교통 관련 전문가,3,3,4,4,3,3,기타전문직
43,1406,측량 및 공간정보 전문가,3,3,4,4,3,3,기타전문직
44,1407,건설자재 시험원,3,3,4,4,3,3,기타전문직
45,15,제조 연구개발직 및 공학기술직,3,3,5,4,3,3,연구원(R&D)
46,151,기계·로봇공학 기술자 및,3,3,5,4,3,3,기계 엔지니어
47,1511,기계공학 기술자 및 연구원,3,3,5,4,3,3,연구원(R&D)
48,1512,로봇공학 기술자 및 연구원,3,3,5,4,3,3,연구원(R&D)
49,1513,기계 및 로봇공학 시험원,3,3,5,4,3,3,기계 엔지니어
50,152,금속·재료공학 기술자 및,3,3,5,4,3,3,기타전문직
51,1521,금속,3,3,4,4,3,3,기타전문직
52,1522,금속 및 재료공학 시험원,3,3,5,4,3,3,기타전문직
53,153,전기·전자공학 기술자 및,3,3,5,4,3,3,전기/전자 엔지니어
54,1531,전기공학 기술자 및 연구원,3,3,5,4,3,3,연구원(R&D)
55,1532,반도체공학 기술자 및 연구원,3,3,5,4,3,3,연구원(R&D)
56,1533,전자공학 기술자 및 연구원,3,3,5,4,3,3,연구원(R&D)
57,1534,전기 및 전자공학 시험원,3,3,5,4,3,3,전기/전자 엔지니어
58,154,화학공학 기술자 및 시험원,3,3,5,4,3,3,기타전문직
59,1541,화학공학 기술자 및 연구원,3,3,5,4,3,3,연구원(R&D)
60,1542,화학공학 시험원,3,3,5,4,3,3,기타전문직
61,155,에너지·환경공학 기술자 및,3,3,5,4,3,3,기타전문직
62,1551,가스,3,3,4,4,3,3,기타전문직
63,1552,가스 및 에너지 시험원,3,3,4,4,3,3,기타전문직
64,1553,신재생에너지 기술자 및,3,3,4,4,3,3,기타전문직
65,1554,신재생에너지 시험원,3,3,4,4,3,3,기타전문직
66,1555,환경공학 기술자 및 연구원,3,3,5,4,3,3,연구원(R&D)
67,1556,환경공학 시험원,3,3,5,4,3,3,기타전문직
