soc_code,title,COMM,RESP,PROB,GROW,STRE,ADAP
11-1011.00,Chief Executives,3.92,4.62,3.81,3.19,4.32,3.49
11-1021.00,General and Operations Managers,3.62,4.64,3.27,2.88,4.39,3.25
11-2011.00,Advertising and Promotions Managers,3.58,4.37,3.31,2.88,4.26,3.27
11-2021.00,Marketing Managers,3.46,4.27,3.32,3.11,3.94,3.34
11-2033.00,Fundraising Managers,3.59,4.36,3.17,2.64,4.14,3.34
11-3012.00,Administrative Services Managers,3.47,4.44,3.05,2.71,4.49,2.99
11-3013.00,Facilities Managers,3.49,4.51,3.13,2.67,4.57,3.03
11-3021.00,Computer and Information Systems Managers,3.51,4.48,3.41,2.98,4.13,3.03
11-3031.00,Financial Managers,3.6,4.37,3.43,2.94,4.14,3.25
11-3031.03,Investment Fund Managers,3.29,4.58,3.42,2.91,4.33,2.83
11-3051.00,Industrial Production Managers,3.54,4.46,3.4,3.27,4.27,3.08
11-3051.01,Quality Control Systems Managers,3.56,4.49,3.5,3.02,4.22,3.02
11-3051.02,Geothermal Production Managers,3.42,4.35,3.31,2.87,4.27,2.95
11-3051.03,Biofuels Production Managers,3.36,4.38,3.19,2.93,4.07,3.05
11-3051.04,Biomass Power Plant Managers,3.43,4.22,3.44,2.69,4.33,2.84
11-3051.06,Hydroelectric Production Managers,3.44,4.31,3.28,3.13,4.07,3.04
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3.59,4.4,3.36,3.17,4.61,3.39
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.02,4.39,3.76,3.78,4.36,3.69
11-9033.00,"Education Administrators, Postsecondary",3.63,4.49,3.45,3.34,4.31,3.36
11-9041.00,Architectural and Engineering Managers,3.5,4.46,3.46,3.03,4.2,3.06
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,3.12,4.14,3.36,2.78,3.9,2.86
11-9051.00,Food Service Managers,3.54,4.3,2.98,2.79,4.36,3.2
11-9071.00,Gambling Managers,3.5,4.51,3.24,2.94,4.46,3.35
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",3.61,4.45,3.02,2.94,4.18,3.31
11-9081.00,Lodging Managers,3.7,4.84,3.16,3.12,4.77,3.61
11-9121.00,Natural Sciences Managers,3.48,4.47,3.59,3.29,4.2,3.06
11-9121.01,Clinical Research Coordinators,3.65,4.49,3.32,2.94,4.46,3.1
11-9131.00,Postmasters and Mail Superintendents,3.48,4.56,3.02,2.79,4.5,3.22
11-9151.00,Social and Community Service Managers,3.64,4.61,3.38,3.24,4.63,3.54
11-9171.00,Funeral Home Managers,3.33,4.49,2.84,2.51,4.4,3.38
11-9179.02,Spa Managers,3.57,4.53,3.17,3.06,4.46,3.4
11-9199.02,Compliance Managers,3.46,4.59,3.41,3.07,4.48,3.05
